company_or_product_name,description_of_product,deal_status,investing_dragon(s),episode,category,entrepreneurs(s),location,website,money_requested,stake_in_%_sold,valuation,season
FiberFix,"super strong duct tape . 100 times effectively stronger than duck tape, with FiberFix you truly can fix just about anything. No really, just about anything. From sawed in half bikes toÂ leaky pipes and hoses, FiberFix is an inexpensive all around useful tool to have around the house at all times. Try it once and youâ€™ll never go back to duck tape.",True,Lori Greiner,6,Home Improvement,,UT,http://www.fiberfix.com,90000,10,900000,5
Ten Thirty One Productions,an entertainment company specializing in horror attractions . entertainment company specializing in horror attractions,True,Marc Cuban,6,Entertainment,Melissa Carbone,CA,http://tenthirtyoneproductions.com,2000000,10,20000000,5
Total Merchant Resources,a company that provides small business loans . a company that provides small business loans,True,Kevin O'Leary,6,Professional Services,,NJ,http://www.totalmerchantresources.com,200000,20,1000000,5
RuffleButts and RuggedButts,a children's clothing line . childrenâ€™s clothing line,True,Lori Greiner,5,Baby and Children's Apparel and Accessories,Amber Schaub,TX,http://www.rufflebutts.com,600000,7,8571429,5
Veggie Mama Garden Pops,"popsicles containing fruits and vegetables, sweetened with agave nectar . popsicles containing fruits and vegetables, sweetened with agave nectar",True,Barbara Corcoran+Marc Cuban,5,Baby and Children's Food,Theresa Fraijo,CA,http://www.veggiemama.com,75000,15,500000,5
Hamboards,skateboards that ride like a surfboard . skateboards that ride like a surfboard,True,Robert Herjavec,4,Outdoor Recreation,,CA,http://hamboards.com,100000,15,666667,5
Rapid Ramen Cooker,a specially designed bowl for cooking ramen noodles . a specially designed bowl for cooking ramen noodles,True,Marc Cuban,3,Kitchen Tools,,CA,http://rapidramen.com,300000,10,3000000,5
Breathometer,a smartphone breathalyzer . a smartphone breathalyzer,True,Daymond John+Kevin O'Leary+Lori Greiner+Marc Cuban+Robert Herjavec,2,Automotive,Charles Michael Yim,CA,https://www.breathometer.com,250000,10,2500000,5
Kane & Couture,designer dog apparel and accessories . designer dog apparel and accessories,True,Daymond John+Lori Greiner,2,Pet Products,Amber Lee Forrester,NY,http://www.kaneandcouture.com,150000,33,454545,5
Postcard on the Run,a mobile app for sending postcards . a mobile app for sending postcards,True,Robert Herjavec,1,Online Services,,CA,http://www.postcardontherun.com,300000,5,6000000,5
Sweet Ballz,cake balls . cake balls,True,Barbara Corcoran+Marc Cuban,1,Specialty Food,,TX,http://www.sweetballz.com,250000,10,2500000,5
Ryan's Barkery,all-natural dog treats ,True,Barbara Corcoran,26,Pet Products,Ryan and Daniella Kelly,CT,http://www.rysruffery.com,25000,25,100000,4
Tom + Chee,a gourmet grilled cheese sandwich restaurant . gourmet grilled cheese and tomato soup restaurant,True,Barbara Corcoran+Marc Cuban,26,Specialty Food,Tru Quakenbush and Cory War,OH,http://www.tomandchee.com,600000,10,6000000,4
VerbalizeIt,a translator service . a translator service,True,Kevin O'Leary,26,Online Services,Ryan Frankel and Kunal Sarda,NY,http://www.verbalizeit.com,250000,15,1666667,4
Mee-Ma's Louisiana Gumbo Brick,a frozen gumbo base ,True,Kevin O'Leary+Lori Greiner,23,Specialty Food,Carol Foster,CA,http://www.gumbobrick.com,200000,20,1000000,4
MistoBox,artisan coffees from around the world delivered to your door . artisan coffees from around the world delivered to your door,True,Marc Cuban,23,Specialty Food,Samantha Meis and Conor Riley,AZ,http://www.mistobox.com,75000,15,500000,4
Wicked Good Cupcakes,"mail-order cupcakes shipped in jars . Wicked Good Cupcakes is probably all you need to say to describe these cupcakes. Moist, decadent and layered with a variety of fillings, each cupcake comes topped with Wicked Good Cupcakesâ€™ famous frosting. The cupcake is packed inside a jar, containing no preservatives and lasts up to 10 days without any sort of refrigeration. Yummy!",True,Kevin O'Leary,22,Specialty Food,Tracey Noonan and Danielle Desroches,MA,https://www.wickedgoodcupcakes.com,75000,20,375000,4
Geek Chic,furniture for gamers . furniture for gamers,True,Robert Herjavec,25,Furniture,Robert Gifford,WA,http://geekchichq.com,100000,5,2000000,4
Stella Valle,military-inspired costume jewelry . military-inspired costume jewelry,True,Lori Greiner+Marc Cuban,25,Women's Accessories,Paige Dellavalle and Ashley Jung,NJ,http://www.stellavalle.com,150000,25,600000,4
Echo Valley Meats,"a gourmet meat business . Specializing in â€œold fashion butcher shopâ€ quality, Echo Valley Meats provides award winning meats out of Peoria, Illinois for the virtual gourmet online market. Its founder, Dave Alwan, is a third generation cattleman/farmer/businessman, whoâ€™s made it his mission to provide the best hams, smoked sausages, and other meats. He has traveled to Germany and Denmark to be trained by the best, and it shows! Although it primarily deals in high-quality meats, it also sells homemade cheese spreads, cinnamon roasted nuts, and cookie dough. You might have already gotten a taste of Echo Valley Meats as a product on Shark Tank, you can also go download their catalog to settle your cravings!",True,Marc Cuban,21,Specialty Food,Dave Alwan,IL,http://www.echovalleymeats.com,150000,20,750000,4
Echo Valley Meats,"a gourmet meat business . Specializing in â€œold fashion butcher shopâ€ quality, Echo Valley Meats provides award winning meats out of Peoria, Illinois for the virtual gourmet online market. Its founder, Dave Alwan, is a third generation cattleman/farmer/businessman, whoâ€™s made it his mission to provide the best hams, smoked sausages, and other meats. He has traveled to Germany and Denmark to be trained by the best, and it shows! Although it primarily deals in high-quality meats, it also sells homemade cheese spreads, cinnamon roasted nuts, and cookie dough. You might have already gotten a taste of Echo Valley Meats as a product on Shark Tank, you can also go download their catalog to settle your cravings!",True,Marc Cuban,22,Specialty Food,Dave Alwan,IL,http://www.echovalleymeats.com,150000,20,750000,6
Gobie H2O,advanced filtered water bottles . advanced filtered water bottles,True,Daymond John,21,Water Bottles,Rusty Allen,CA,http://www.gobieh2o.com,300000,10,3000000,4
Liddup,a cooler with interior LED lighting . a cooler with interior LED lighting,True,Kevin O'Leary,21,Novelties,Taylor Gwiazdon and Jayson Sandberg,NV,http://www.liddup.com,100000,10,1000000,4
Drop Stop,"a device to stop objects from falling between a car seat and the center console . Ever accidentally drop a quarter or a precious curly fry in between the crevices of your car seats? Another one of Lori Grienerâ€™s heroes, Drop Stop does exactly what it says and prevents objects from annoyingly falling between those hard to reach places of your vehicle.",True,Lori Greiner,20,Automotive,Marc Newburger and Jeffrey Simon,CA,http://www.buydropstop.com,300000,15,2000000,4
Simple Sugars,"a sugar scrub that nourishes and exfloriates skin . Simple Sugars is an all natural sugar scrub that nourishes and exfoliates the skin. Itâ€™s formulated to be gentle enough for daily use on even the most sensitive skin. The blend of all natural oils leave you feeling silky smooth without the need for additional lotion or moisturizer. Also available for Men, Simple Sugars providesÂ body scrubs, facial scrubs, foot scrub and more. Oh and it smells wonderful too!",True,Marc Cuban,20,Personal Care and Cosmetics,Lani Lazzari,PA,http://www.simplesugarsscrub.com,100000,10,1000000,4
Jeska Shoe Company,shoes that can change look and style . shoes that can change look and style,True,Daymond John,18,Women's Shoes,Jessica Haynes,AR,,70000,30,233333,4
Nuts 'n More,fortified nut butters ,True,Marc Cuban+Robert Herjavec,18,Specialty Food,"Peter Ferreira, Dennis Iannotti and Neil Cameron",RI,http://www.nuts-n-more.com,250000,20,1250000,4
How Do You Roll?,a create-your-own sushi restaurant . a create-your-own sushi restaurant,True,Kevin O'Leary,16,Specialty Food,Peter and Yuen Yung,TX,http://howdoyouroll.com,1000000,12,8333333,4
Grinds,"an alternative to chewing tobacco made from ground coffee . Coffee lovers unite, this is a cool one. Grinds are small pouches of flavored coffee that help you stay stimulated and focused. A healthy alternative to chewing tobacco, Grinds has plenty of B-Vitamins and other important nutrients to get you through the day. Are you grinding yet?",True,Daymond John+Robert Herjavec,15,Specialty Food,Matt Canepa and Pat Pezet,CA,http://www.getgrinds.com,75000,10,750000,4
Hoodie Pillow,"bed and neck pillows with attached hoods . Crafted from premium sweatshirt material, Hoodie Pillow is pure bliss, comfort and travelerâ€™s dream. The oversized hood allows for privacy and blocks light, while the memory foam pillow naturally allows your head and neck to rest. A perfect gift for a businessman or college student always on the go.",True,Others,15,Novelties,Rebecca Rescate and Chris Hindley,NJ,http://www.hoodiepillow.com,90000,15,600000,4
SoundBender,"a device that directs sound from iPad speakers towards the user . The ultimate sound enhancer for your tablet. Magnetically and tightly securing to your iPad, Soundbender works by guiding the sound from the speakers back in your direction. In doing so amplifies and enhances yourÂ listening experience for music, movies and video games. Soundbender comes in a variety of colors and attaches to the iPad 2, iPad 3 and iPad 4.",True,Daymond John,14,Electronics,Rabbi Moshe Weiss,MN,http://www.thesoundbender.com,54000,26,207692,4
Coffee Joulies,"a capsule that absorbs and releases heat to keep warm beverages at a drinkable temperature for an extended time . Coffee Joulies is an example of a KickStarter campaign done right, garnering about $300,000 more fundingÂ then asked. Joules is a capsule that absorbs and releases heat to keep warm beverages at the temperature you want for a longer period of time than weâ€™re accustomed too. Great on beverages like coffee, tea, hot chocolate and more. If youâ€™re like me and at times neglect your recently poured cup of coffee while working at the computer, this is the perfect solution.",True,Daymond John+Kevin O'Leary+Lori Greiner+Robert Herjavec,13,Novelties,Dave Jackson and Dave Petrillo,NJ,http://www.joulies.com,150000,5,3000000,4
Teddy Needs a Bath,a bag for cleaning stuffed toys in the washing machine . a bag for cleaning stuffed toys in the washing machine,True,Marc Cuban,13,Storage and Cleaning Products,Nicole Townend,CA,http://www.teddyneedsabath.com,50000,10,500000,4
Urbio,modular indoor planters for urban spaces . modular indoor planters for urban spaces,True,Lori Greiner,13,Gardening,Jared Aller and Beau Oyler,CA,http://www.myurbio.com,300000,12,2500000,4
Hot Tot,professional hair products for children . professional childrenâ€™s hair products,True,Marc Cuban,12,Baby and Child Care,Megan Gage,CO,http://hottot.com,50000,15,333333,4
The Coop,a children's party place . a childrenâ€™s party place,True,Barbara Corcoran,11,Baby and Children's Entertainment,Lucinda Lent and Juliet Boydstun,CA,http://www.thecoop-la.com,150000,15,1000000,4
Ruckpack,"a caffeine free energy drink developed by U.S. special forces . Looking for a legitimate energy drink? RuckPack is it. Created and tested by U.S. Special Operations Forces, RuckPack is an energy shot and nutritional supplement that redefines the energy drink. With 5g of Frutose, Vitamins B6 and B12 and Alpha GPC, RuckPack gives you an immediate short term boost of energy and peak performance nutrition. There is no caffeine or empty energy in these bottles, so you will avoid the shakes and jolts youâ€™d sometimes get with other energy solutions.",True,Kevin O'Leary+Robert Herjavec,10,Specialty Food,Rob Dyer,CA,http://www.ruckpack.com,75000,10,750000,4
Drive Suits,motorized vehicle suits . motorized vehicle suits,True,Kevin O'Leary,9,Costumes,Drew Beaumier,CA,http://www.drivesuits.com,150000,20,750000,4
Cool Wazoo,"a 5-in-1 baby mat cover . the Original 5-in-1 Convertible Baby Changing Pad, Swing Insert, Highchair Cover, Car Shade and Shopping Cart Cover.",True,Lori Greiner,8,Baby and Child Care,Ginelle Mills,CA,http://www.thecoolwazoo.com,65000,25,260000,4
PlateTopper,airtight plate covers . airtight plate cover,True,Lori Greiner,8,Kitchen Tools,Michael Tseng,CA,https://www.platetopper.com/,90000,5,1800000,4
Scrub Daddy,"an innovative dish scrubbing tool . The phenomenon that is the Scrub Daddy. The perfect household cleaning tool works on just about anything you can think of. Not only is it suitable for typical household chores like doing the dishes, cleaning appliances and shower enclosures, but itâ€™s also useful for personal use, the outdoors and even washing your car.",True,Lori Greiner,7,Kitchen Tools,,PA,http://scrubdaddy.com,100000,10,1000000,4
Cousins Maine Lobster,a food truck serving lobster from Maine . mobile food truck,True,Barbara Corcoran,6,Specialty Food,Jim Tselikis and Sabin Lomac,CA,http://www.cousinsmainelobster.com,55000,5,1100000,4
PRO-NRG,energy-infused flavored water . energy infused flavored water,True,Daymond John,6,Non-Alcoholic Beverages,Tania Patruno and Brandon Jacobs,NJ,http://www.pronrgusa.com,250000,15,1666667,4
Marz Sprays,vitamin oral sprays . vitamin oral sprays,True,Lori Greiner,5,Homeopathic Remedies,Brandon and Keith Marz,CA,http://marzsprays.com,200000,10,2000000,4
Back 9 Dips,a chicken flavored dip . chicken flavored dip,True,Lori Greiner+Robert Herjavec,4,Specialty Food,David & Nique Mealy,FL,http://www.back9dips.com,150000,15,1000000,4
Bag Bowl,a sleeve that converts zip-lock bags into temporary bowls . a sleeve that converts zip-lock bags into temporary bowls,True,Lori Greiner,4,Kitchen Tools,Brian and Kevin Fleming,MO,http://www.buybagbowl.com,40000,33,121212,4
Posture Now,"a posture correcting device . Many of us are culprit to slouching or maintaining bad posture. We now have a solution thatÂ knocks out this bad habit. The worldâ€™s leading posture trainer, the Posture Now is a wearable braceÂ that actsÂ as an effective guide and posture helper. By using this brace for as little as 10-30 minutes a day, it is 100% guaranteed toÂ improve and train yourself for a lifetime of permanent good posture.",True,Marc Cuban,3,Health and Well-Being,Mike Lane and Mark Franklin,OR,http://www.posturenow.com/,100000,15,666667,4
Rock Bands,bracelets made with allegedly healing stones . healing stones you wear on a bracelet,True,Daymond John+Marc Cuban,3,Men and Women's Accessories,Lee Dahlberg,FL,http://www.leatherrockbands.com/,100000,20,500000,4
SurfSet Fitness,surfing-inspired exercise equipment . surfing-inspired exercise equipment,True,Marc Cuban,2,Fitness Programs,Mike Hartwick and Sarah Ponn,NH,http://www.surfsetfitness.com/,150000,10,1500000,4
Bev Buckle,a belt buckle which serves as a beverage holder . a belt buckle which serves as a beverage holder,True,Barbara Corcoran,1,Novelties,Jay Kriner,CO,http://www.thebeerbuckle.com,50000,10,500000,4
Buggy Beds,bed bug glue traps . bed bug glue traps,True,Barbara Corcoran+Daymond John+Kevin O'Leary+Marc Cuban+Robert Herjavec,1,Pest Control,Maria Curcio and Veronica Periongo,MA,http://www.buggybeds.com,125000,7,1785714,4
UniKey Technologies,door locks operated by a smart phone application . door locks operated by a smart phone application,True,Kevin O'Leary+Marc Cuban,15,Electronics,Phil Dumas,FL,http://www.unikey.com/,500000,33,1515152,3
Billy Blanks Jr.'s Dance With Me,a new fitness program created by the son of the creator of the best selling fitness DVD ever ,True,Daymond John+Marc Cuban,14,Fitness Programs,"Billy Blanks, Jr.",CA,http://www.meettheblanks.com/,100000,20,500000,3
Mix Bikini,mix and match bikinis . mix and match bikinis,True,Barbara Corcoran,14,Women's Apparel,Frank Scozzafava and Adam DiSilvestro,NY,,50000,5,1000000,3
Wild Squirrel Nut Butter,a line of peanut butters . peanut butter made by college students,True,Barbara Corcoran,14,Specialty Food,Erika Welsh and Keeley Tillotson,OR,https://www.wildfriendsfoods.com/,50000,10,500000,3
Boot Illusions,interchangeable covers to make heels into boots . interchangeable covers to make heels into boots,True,Barbara Corcoran,13,Women's Shoes,Andrew Goodrum and Queenie Davis,GA,,100000,30,333333,3
Villy Customs,customizable bicycles . customizable bicycles,True,Barbara Corcoran+Marc Cuban,13,Cycling,Fleetwood Hicks,TX,http://www.villycustoms.com/,500000,33,1515152,3
Lollacup,"spill proof sippy cups . An innovative and stylish straw sippy cup, Lollacup makesÂ it simple for infants and toddlers to drink from the straw, even when the cup has been tilted.Â Lollacup is designed to be an easy to hold,Â effective sippy cup for your young one. Itâ€™s dishwasher safe and no problem to clean. Made in the USA and FDA approved, the Lollacup comes in a variety of colors.",True,Marc Cuban+Robert Herjavec,12,Baby and Child Care,Hanna Lim,CA,http://www.lollaland.com/,100000,15,666667,3
Nail Pak,"a 3-in-1 nail polish, remover, and file . a 3-in-1 nail polish, remover, and file",True,Lori Greiner,12,Personal Care and Cosmetics,Barbara Lampugnale,CT,http://dualitycosmetics.com/,50000,20,250000,3
MisoMedia,software for learning to play instruments ,True,Marc Cuban,9,Music,Aviv Grill,CA,,300000,5,6000000,3
Tower Paddle Boards,a paddle board company ,True,Marc Cuban,9,Outdoor Recreation,Stephan Aarstol,CA,http://www.towerpaddleboards.com/,150000,10,1500000,3
Litter,a line of body jewelry ,True,Daymond John+Marc Cuban,8,Women's Accessories,Rachel Mann and Mackenzie Burdick,CA,http://littersf.com/,80000,51,156863,3
Nardo's Natural,a line of skin care products ,True,Barbara Corcoran,8,Personal Care and Cosmetics,"Kyle, KJ, Danny and DJ Nardo",FL,http://www.nardosnatural.com/,75000,12,625000,3
Kisstixx,flavored mix-and-match lip balms ,True,Marc Cuban,7,Personal Care and Cosmetics,Dallas Robinson and Mike Buonomo,UT,http://kisstixx.com/,200000,20,1000000,3
The Smart Baker,a line of home baking products ,True,Barbara Corcoran,7,Kitchen Tools,Stephanie and Daniel Rensing,FL,http://www.thesmartbaker.com/,75000,25,300000,3
The Painted Pretzel,a candy pretzel business . a candy pretzel business,True,Marc Cuban,6,Specialty Food,Raven Thomas,AZ,http://www.thepaintedpretzel.com/,100000,25,400000,3
M3 Girl Designs,a jewelry line for kids . two sisters and their mother who created a jewelry line for kids,True,Lori Greiner+Marc Cuban+Robert Herjavec,5,Baby and Children's Apparel and Accessories,"Maddie, Margot and Diane Bradshaw",TX,http://www.snapcapsonline.com/,300000,15,2000000,3
Talbott Teas,premium teas . premium teas,True,Kevin O'Leary,5,Specialty Food,Steve Nakisher and Shane Talbott,CA,http://talbottteas.com/,250000,20,1250000,3
The Last Lid,a universal garbage can lid . a universal garbage can lid,True,Daymond John,5,Storage and Cleaning Products,Kevin and Melissa Kiernan,RI,https://www.lastlid.com,40000,20,200000,3
Show No,a towel that provides coverage to change out of a swimsuit in public . a towel that provides coverage to change out of a swimsuit in public,True,Lori Greiner,4,Baby and Children's Apparel and Accessories,Shelly Ehler,CA,http://showno.com/,50000,25,200000,3
Wine Balloon,a way to keep wine good for longer . a way to keep wine good for longer,True,Lori Greiner+Marc Cuban,4,Wine Accessories,Eric Corti,OH,http://aircork.com/,40000,30,133333,3
Chord Buddy,"a system for learning to play guitar . Is learning to play the guitar intimidating? Chord Buddy is the perfect teacher. EssentiallyÂ training wheels for your Guitar, Chord buddy teaches you how to play the instrument in just a short amount of time. Within weeks you will notice progress and gain some confidence to remove some tabs. It is promised that if you follow through with Chord BuddyÂ you can take off the contraption entirely and play like a free bird. I didnâ€™t say the song literally..",True,Robert Herjavec,3,Music,Travis Perry,AL,http://www.chordbuddy.com/,125000,10,1250000,3
You Smell Soap,luxury soap . a way to keep wine good for longer,True,Robert Herjavec,3,Personal Care and Cosmetics,Megan Cummins,TX,http://www.yousmellsoap.com/,55000,20,275000,3
EZ VIP,a club reservation service . club reservation service,True,Daymond John+Marc Cuban,1,Entertainment,Alashe Nelson,FL,https://www.ezvip.com/,150000,15,1000000,3
The Clean Bottle,easy to clean water bottles ,True,Marc Cuban,1,Water Bottles,Dave Mayer,CA,http://www.cleanbottle.com/,60000,5,1200000,3
Aldo Orta Jewelry,mass market versions of custom jewelry . mass market versions of custom jewelry,True,Barbara Corcoran,9,Women's Accessories,Aldo Orta,IL,http://www.aojewelry.com/,180000,45,400000,2
CitiKitty,a toilet training product for cats ,True,Others,9,Pet Products,Rebecca Rescate,PA,http://www.citikitty.com/,100000,15,666667,2
One Sole,shoes with replaceable tops ,True,Daymond John,9,Women's Shoes,Dominique McClain Barteet,FL,http://www.onesolestore.com/,500000,20,2500000,2
Daisy Cakes,mail-order cakes . mail-order cakes,True,Barbara Corcoran,6,Specialty Food,Kim Nelson,SC,https://www.ilovedaisycakes.com/,50000,25,200000,2
Sweep Easy,a broom with a built-in scraper ,True,Daymond John,6,Storage and Cleaning Products,Shane Pannell,AZ,http://buysweepeasy.com/,40000,25,160000,2
Mod Mom Furniture,modernized toy boxes . modernized toy boxes,True,Robert Herjavec,3,Furniture,Kiersten Hathcock,AZ,http://www.modmomfurniture.com/,90000,25,360000,2
Tippi Toes,a children's exercise program franchise . a childrenâ€™s exercise program franchise,True,Marc Cuban,1,Baby and Children's Entertainment,Megan Reilly and Sarah Nuse,TX,http://www.tippitoesdance.com/,30000,5,600000,2
Wurkin Stiffs,magnetic collar-stays . magnetic collar-stays,True,Barbara Corcoran+Daymond John,1,Men's Accessories,Jonathan Boos,FL,http://wurkinstiffs.com/,85000,10,850000,2
Origaudio,innovative portable speakers . innovative portable speakers,True,Robert Herjavec,8,Electronics,Jason Lucash and Michael Szymczak,CA,http://www.origaudio.com,150000,15,1000000,2
Broccoli Wad,a mafia-inspired money clip . mafia-inspired money clip,True,Barbara Corcoran,4,Novelties,Johnny Gennaro & Vinny Pastore,NY,http://amzn.to/1AcWx1t,50000,20,250000,2
Hillbilly Brand,"a specialty clothing brand marketed towards ""rednecks"" and ""hillbillies"". specialty clothing brand marketed towards",True,Daymond John+Robert Herjavec,4,Men and Women's Apparel,Mike Abbaticchio & Shon Lees,FL,http://www.hillbillybrand.com/,50000,25,200000,2
Ride-On Carry-On,luggage with a built-in child chair ,True,Barbara Corcoran,4,Baby and Child Care,Darryl and Randy Lenz,GA,http://www.rideoncarryon.com/,50000,25,200000,2
First Defense Nasal Screen,a personal air filtration system . personal air filtration system,True,Daymond John+Kevin O'Leary+Marc Cuban,2,Health and Well-Being,Joe Moore,FL,http://www.filteryourlife.com/,500000,10,5000000,2
Toygaroo,a toy subscription service . toy subscription service,True,Kevin O'Leary+Marc Cuban,2,Toys and Games,Nikki Pope,CA,,100000,10,1000000,2
Hydromax,a hydration system for football players ,True,Others,7,Fitness Apparel and Accessories,Chris Spencer,TX,http://www.hydromaxsystem.com/,50000,25,200000,2
Fridge Fronts,magnetic decorative covers for refrigerators . magnetic decorative finish for refrigerators,True,Barbara Corcoran,5,Home Improvement,Jan Augenstein,OH,http://www.fridgefronts.com/,100000,30,333333,2
Lightfilm,light-up decals for car windows . light-upÂ decalÂ for carÂ windows,True,Daymond John+Robert Herjavec,5,Automotive,George Podd and Rolf Schwartz,IL,http://powerdecal.com/,100000,5,2000000,2
Caffeindicator,a decaf coffee testing system incorporated onto sweetener packets . a decaf coffee testing system incorporated onto sweetener packets,True,Others,13,Novelties,Michael Schiavone,PA,,200000,25,800000,1
Lipstix Remix,a lipstick mold that combines used lipsticks into a new stick . a lipstick mold that combines used lipsticks into a new stick,True,Barbara Corcoran+Daymond John,13,Personal Care and Cosmetics,Jill Quilln,TN,http://www.lipstixremix.com/,105000,30,350000,1
Grease Monkey Wipes,more effective cleaning and degreasing wet wipes . more effective cleaning and degreasing wet wipes,True,Barbara Corcoran+Robert Herjavec,12,Outdoor Recreation,Tim Stansbury and Erin Whalen,TX,http://www.greasemonkeywipes.com/,40000,40,100000,1
The Chef in Black,a dried Chinese salad dressing ,True,Barbara Corcoran,11,Specialty Food,Dorene Humason,CA,http://chefinblack.com/,50000,10,500000,1
Jump Forward,a technological solution for sports recruiting from high school to college . a technological solution for sports recruiting from high school to college,True,Kevin O'Leary+Robert Herjavec,10,Online Services,Brian Duggan and Adam McCombs,IL,http://www.jumpforward.com/,150000,10,1500000,1
Uroclub,a urologist who created a solution to bladder problems on a golf course ,True,Others,10,Golf Products,Dr. Floyd Seskin,FL,http://www.uroclub.com/,25000,51,49020,1
Nubrella,a wearable umbrella . new wearable design for an umbrella,True,Daymond John,14,Novelties,Alan Kaufman,MA,http://nubrella.com/,200000,25,800000,1
Qubits,a bendable construction toy . bendable construction toy,True,Daymond John,14,Toys and Games,Mark Burginger,FL,http://www.qubitstoy.com/,90000,51,176471,1
Chill Soda,a healthy soda ,True,Barbara Corcoran,9,Non-Alcoholic Beverages,Dan Mackey,CA,http://www.chillsoda.com/,50000,10,500000,1
Gayla Bentley Fashion,a fashion line for women over size 12 . a fashion line for women over size 12,True,Barbara Corcoran+Daymond John,9,Women's Apparel,Gayla Bentley,TX,http://www.gaylabentley.com/,250000,20,1250000,1
Notehall,a website that buys and sells college class notes and study guides . a website that buys and sells college class notes and study guides,True,Barbara Corcoran,8,Online Services,D.J. Stephan and Sean Conway,CA,http://www.notehall.com,90000,10,900000,1
Treasure Chest Pets,an organizer for children designed like a stuffed toy . an organizer for children designed like a stuffed toy,True,Barbara Corcoran+Daymond John,8,Toys and Games,Lisa Lloyd,CA,,150000,20,750000,1
Grill Charms,stainless steel tags that identify different cooking specifications of various meats when on the grill . stainless steel tags that identify different cooking specifications of various meats when on the grill,True,Robert Herjavec,7,Kitchen Tools,Leslie Haywood,SC,http://www.grillcharms.com,50000,25,200000,1
Element Bars,"a company that manufactures custom energy bars . Element Bars Custom Whole Food Bars lets you create your own custom energy bar by selecting the natural ingredients you prefer. The organic ingredients are hand selected and only the highest of quality make the cut. Element Bars are healthy and taste absolutely delicious. Choose your core granola flavor, fruits, nuts, sweets, boosts and name your bar what you want today!",True,Others,6,Specialty Food,Jonathan Miller,IL,http://www.elementbars.com/,150000,15,1000000,1
Pork Barrel BBQ,a barbecue sauce and spice rub . a new brand of barbecue sauce and spice rub. award winning sample pack.,True,Barbara Corcoran,6,Specialty Food,Heath Hall and Brett Thompson,VA,http://porkbarrelbbq.com/,50000,10,500000,1
Body Jac,a fitness machine to make pushups easier . a fitness machine to make pushups easier,True,Barbara Corcoran,5,Fitness Equipment,Cactus Jack,IA,,180000,20,900000,1
My Therapy Journal,a web site that allows people to write in a journal and gauge their emotional state . a web site that allows people to write in a journal and gauge their emotional state,True,Kevin O'Leary+Robert Herjavec,5,Online Services,Rodolfo and Alexis Saccoman,FL,http://www.mytherapyjournal.com,80000,20,400000,1
Coverplay,a slip cover for children's travel play yards ,True,Barbara Corcoran,4,Baby and Child Care,Amy Feldman and Allison Costa,CA,http://www.coverplayard.com/,350000,15,2333333,1
Gift Card Rescue,a web site that buys and resells unused gift cards . a web site that buys and resells unused gift cards,True,Kevin O'Leary+Robert Herjavec,4,Online Services,Kwami Kuadey,MD,http://www.giftcardrescue.com,150000,30,500000,1
Stress Free Kids,a line of books that use stress relieving techniques to calm kids to sleep . a line of books that use stress relieving techniques to calm kids to sleep,True,Barbara Corcoran,3,Baby and Child Care,Lori Lite,GA,http://www.stressfreekids.com,250000,20,1250000,1
Turbobaster,a cooking device for basting ,True,Others,3,Kitchen Tools,Marian Cruz,CA,,35000,35,100000,1
A Perfect Pear,a gourmet food business . a gourmet food business,True,Robert Herjavec,2,Specialty Food,Susan Knapp,CA,http://www.aperfectpear.com,500000,15,3333333,1
Classroom Jams,a musical way to teach students Shakespeare . Who hasnâ€™t had to study Shakespeare? Marc Furigay created Classroom Jams â€“ a musical way to teach Shakespeare to high school kids. What better way to learn Ye Olde English than with music. And he get a deal with ALL the Sharks!,True,Barbara Corcoran+Daymond John+Kevin O'Leary+Robert Herjavec,2,Education,Mark Furigay,IL,,250000,10,2500000,1
Ava the Elephant," (Emmy the Elephant during show, trademarked as Ava after) a plastic elephant-shaped device that helps parents give small children oral medicine . (Emmy the Elephant during show, trademarked as Ava after) a plastic elephant shaped device that lets parents easily give small children oral medicine",True,Barbara Corcoran,1,Baby and Child Care,Tiffany Krumins,GA,http://www.avatheelephant.com/,50000,15,333333,1
Mr. Tod's Pie Factory,a pie company ,True,Barbara Corcoran+Daymond John,1,Specialty Food,Tod Wilson,NJ,http://whybake.com/,460000,10,4600000,1
